coverage.against.year	num.seqs.against.year	design.up.to.year	num.seqs.up.to.year	coverage
upto2012	24	2005	18	0.8375
upto2012	24	2005	18	0.885417
upto2012	24	2005	18	0.8625
upto2012	24	2005	18	0.833333
upto2012	24	2005	18	0.80625
upto2012	24	2005	18	0.854167
upto2012	24	2005	18	0.88125
upto2012	24	2005	18	0.864583
upto2012	24	2005	18	0.90625
upto2012	24	2005	18	0.839583
upto2012	24	2006	19	0.8625
upto2012	24	2006	19	0.96875
upto2012	24	2006	19	0.854167
upto2012	24	2006	19	0.977083
upto2012	24	2006	19	0.98125
upto2012	24	2006	19	0.960417
upto2012	24	2006	19	0.825
upto2012	24	2006	19	0.96875
upto2012	24	2006	19	0.93125
upto2012	24	2006	19	0.96875
upto2012	24	2007	20	0.977083
upto2012	24	2007	20	0.983333
upto2012	24	2007	20	0.96875
upto2012	24	2007	20	0.979167
upto2012	24	2007	20	0.98125
upto2012	24	2007	20	0.964583
upto2012	24	2007	20	0.852083
upto2012	24	2007	20	0.964583
upto2012	24	2007	20	0.954167
upto2012	24	2007	20	0.99375
upto2012	24	2008	20	0.85625
upto2012	24	2008	20	0.98125
upto2012	24	2008	20	0.970833
upto2012	24	2008	20	0.985417
upto2012	24	2008	20	0.970833
upto2012	24	2008	20	0.995833
upto2012	24	2008	20	0.9875
upto2012	24	2008	20	0.989583
upto2012	24	2008	20	0.985417
upto2012	24	2008	20	0.9875
upto2012	24	2009	20	0.972917
upto2012	24	2009	20	0.96875
upto2012	24	2009	20	0.985417
upto2012	24	2009	20	0.866667
upto2012	24	2009	20	0.975
upto2012	24	2009	20	0.975
upto2012	24	2009	20	0.922917
upto2012	24	2009	20	0.99375
upto2012	24	2009	20	0.8375
upto2012	24	2009	20	0.975
upto2012	24	2010	23	0.96875
upto2012	24	2010	23	0.9625
upto2012	24	2010	23	0.991667
upto2012	24	2010	23	0.991667
upto2012	24	2010	23	0.9875
upto2012	24	2010	23	0.98125
upto2012	24	2010	23	0.989583
upto2012	24	2010	23	0.989583
upto2012	24	2010	23	0.991667
upto2012	24	2010	23	0.983333
upto2012	24	2011	23	0.983333
upto2012	24	2011	23	0.9875
upto2012	24	2011	23	0.977083
upto2012	24	2011	23	0.989583
upto2012	24	2011	23	0.975
upto2012	24	2011	23	0.983333
upto2012	24	2011	23	0.98125
upto2012	24	2011	23	0.989583
upto2012	24	2011	23	0.983333
upto2012	24	2011	23	0.985417
upto2012	24	2012	24	0.975
upto2012	24	2012	24	0.964583
upto2012	24	2012	24	1
upto2012	24	2012	24	0.975
